baltimore house prices
6
STATION
X
Y
PRICE
r_p_1
r_p_2
1   907   534   47   8.490299   20.273061
2   922   574   113   51.346488   41.335615
3   920   581   165   98.612854   75.629569
4   923   578   104.3   40.258218   23.396895
5   918   574   62.5   0.255381   -10.170515
6   900   577   70   3.193367   -17.203376
7   918   576   127.5   63.987358   50.15917
8   907   576   53   -12.138185   -28.320949
9   918   562   64.5   9.863519   15.267438
10   897   576   145   78.384049   58.659448
11   916   569   63.5   4.129886   1.018158
12   908   573   58.9   -4.188374   -14.915737
13   913   566   65   7.08859   7.474023
14   910   574   52   -11.426832   -23.323377
15   922   569   48   -10.483455   -13.045609
16   913   536   3.5   -35.391065   -22.496963
17   919   533.5   12.8   -23.619376   -12.196584
18   917.5   535   17.5   -20.092058   -7.769944
19   933   548.5   36   -7.860675   4.462887
20   932.5   552.5   41.9   -4.57061   6.690411
21   936.5   548.5   53.5   10.156543   21.698987
22   930   542.5   24.5   -15.999936   -2.95639
23   925   545   24.5   -18.323848   -4.395426
24   927   552   55.5   8.533624   20.749756
25   936   554.5   60   12.778585   22.481152
26   860   554   51   -7.135434   -19.640201
27   868   550.5   46   -8.734181   -12.744622
28   872.5   543   46   -3.3141   -1.472066
29   880.5   544.5   44   -5.082904   0.687762
30   869   551.5   54.9   -0.320416   -4.301079
31   883   538   42.5   -2.092387   5.084184
32   876   541   44   -3.528858   0.488971
33   875.5   549   44.9   -7.774839   -6.266618
34   875   550   37.9   -15.482738   -14.79019
35   868   545   33   -18.247117   -19.677197
36   879   552   43.9   -10.159655   -8.427112
37   860   555.5   49.6   -9.486452   -23.32916
38   868   556.5   52   -6.53825   -15.24632
39   873   549   45.5   -7.54428   -7.503053
40   888.5   545   37.5   -10.717696   -1.63109
41   878   532   50   8.472799   11.747216
42   883   545.5   35.9   -13.447473   -6.760007
43   873   557.5   42.9   -15.533378   -21.81436
44   882   568   107   43.239491   29.468418
45   881.5   562   112   51.969672   45.956591
46   867   560   44.9   -16.005067   -29.093654
47   877   557   55   -2.525266   -5.85482
48   889   571   102   37.371893   22.689052
49   876.5   564.5   35.5   -26.85424   -38.995029
50   870.5   560   62.9   2.512151   -8.069339
51   884.5   560   39   -19.318975   -21.506948
52   866   567.5   110   44.19207   20.213465
53   899   560   8   -48.176214   -44.428484
54   890   559   62   5.127808   6.519753
55   896   560   60   3.380456   6.130325
56   892   561   85.9   28.055338   28.245381
57   895   559   57   0.866691   4.229877
58   892   565   110   49.619292   45.093616
59   902.5   552   67.7   17.113096   27.820165
60   902   557   89.5   35.669151   42.941676
61   905   550   70   21.050561   33.194157
62   905   548   74   26.318584   39.159429
63   904.5   543   22.9   -21.685247   -8.130839
64   903   547   13   -34.342958   -21.594457
65   910   562.5   48   -8.1357   -4.235801
66   910   552   24   -25.478579   -13.458755
67   908.5   565   53.5   -4.442393   -3.664553
68   913.3   558.5   34.5   -18.611991   -10.460157
69   907.5   563   53   -3.822147   -0.953438
70   902   572   87.5   24.158978   13.284899
71   908   556   33.5   -18.810178   -9.491716
72   925   541.5   24   -16.604808   -2.911523
73   919   540.5   9.6   -31.257456   -17.191174
74   919.5   537.5   30   -8.881534   4.343033
75   922.5   549   41   -4.729336   8.833809
76   921   558   30   -21.657105   -12.636416
